epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0427,1.09627,2.84785,1.19451,0.01,0.72047,0.20854,0.14647,0.92639,2.98483,1.02196,6e-05,6e-05,6e-05
2,41.6572,1.06375,2.5699,1.1344,0.0112,0.80709,0.34545,0.26879,0.91289,2.90712,0.99526,0.000137228,0.000137228,0.000137228
3,60.0495,1.14647,1.93156,1.13043,0.01153,0.83071,0.41352,0.32383,0.94984,2.72712,0.98774,0.000211288,0.000211288,0.000211288
4,79.1351,1.09113,1.5081,1.10356,0.95297,0.23935,0.43198,0.31426,1.01105,2.53299,1.0212,0.00028218,0.00028218,0.00028218
5,97.5393,1.08217,1.48655,1.14002,0.94007,0.30315,0.44191,0.31436,1.05962,2.51139,1.04967,0.000349904,0.000349904,0.000349904
6,117.637,1.12024,1.42646,1.13382,0.98186,0.27559,0.43926,0.31404,1.09976,2.51585,1.07713,0.00041446,0.00041446,0.00041446
