epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,761.144,0.96524,0.95251,1.08217,0.87321,0.65075,0.75251,0.53774,1.01154,1.16561,1.05593,0.0011882,0.0011882,0.0011882
43,778.755,0.99294,0.95523,1.06783,0.84793,0.67717,0.78363,0.56649,1.00684,1.11079,1.05019,0.0011684,0.0011684,0.0011684
44,796.455,0.93533,0.98636,1.0521,0.86125,0.70872,0.81881,0.59565,0.98118,1.0415,1.03618,0.0011486,0.0011486,0.0011486
45,814.094,0.98714,0.98381,1.08482,0.87391,0.73228,0.83524,0.60392,0.97374,0.99925,1.03741,0.0011288,0.0011288,0.0011288
46,831.833,1.00577,0.95799,1.09631,0.90845,0.74229,0.85466,0.62072,0.91982,0.99003,1.01037,0.001109,0.001109,0.001109
47,849.485,0.95475,0.91982,1.06015,0.88319,0.71443,0.84526,0.61162,0.93348,1.01432,1.01478,0.0010892,0.0010892,0.0010892
48,867.017,0.88612,0.87611,1.03286,0.90545,0.71638,0.8449,0.61353,0.9398,1.00185,1.01596,0.0010694,0.0010694,0.0010694
49,884.725,0.99862,0.95397,1.08826,0.85788,0.74409,0.83347,0.59539,0.9603,1.00953,1.02433,0.0010496,0.0010496,0.0010496
50,902.453,0.94123,0.91002,1.01976,0.87529,0.71845,0.82769,0.59094,0.97577,1.05358,1.03561,0.0010298,0.0010298,0.0010298
51,920.063,0.9154,0.88187,1.02514,0.87198,0.72405,0.82912,0.60207,0.95111,1.0204,1.0432,0.00101,0.00101,0.00101
52,937.718,0.85245,0.83797,1.02778,0.888,0.74409,0.83498,0.60296,0.93201,0.98931,1.05316,0.0009902,0.0009902,0.0009902
53,955.396,0.86859,0.85999,1.03147,0.90608,0.72163,0.83208,0.60002,0.95797,0.97392,1.07259,0.0009704,0.0009704,0.0009704
54,973.051,0.90723,0.85321,1.05595,0.81484,0.76235,0.82615,0.5871,0.95207,0.96888,1.07319,0.0009506,0.0009506,0.0009506
55,990.68,0.9031,0.8534,1.03921,0.91426,0.71364,0.8373,0.60636,0.92998,0.90957,1.06052,0.0009308,0.0009308,0.0009308
56,1008.37,0.91143,0.85284,1.04976,0.91778,0.74713,0.85739,0.6325,0.87495,0.85843,1.02206,0.000911,0.000911,0.000911
57,1025.96,0.88089,0.8403,1.03982,0.94229,0.77137,0.87614,0.65635,0.82822,0.8206,0.98511,0.0008912,0.0008912,0.0008912
58,1043.64,0.92345,0.84303,1.03619,0.95,0.78346,0.87793,0.67187,0.80372,0.8017,0.96343,0.0008714,0.0008714,0.0008714
59,1061.31,0.94842,0.86759,1.07894,0.93428,0.77559,0.87735,0.66643,0.8097,0.80674,0.95749,0.0008516,0.0008516,0.0008516
